catalogue_id,display_name,right_ascension,declination,apparent_magnitude,constellation_region,spectral_type,description
HR3,33 Psc,0.08891667,-5.70750000,4.61,Psc,K1III,
HR15,Alpheratz,0.13977778,29.09055556,2.06,And,B8IVpMnHg,
HR21,Caph,0.15294444,59.14972222,2.27,Cas,F2III-IV,
HR25,Epsilon Phe,0.15683333,-45.74750000,3.87,Phe,K0III,
HR33,6 Cet,0.18772222,-15.46805556,4.89,Cet,F7V,
HR39,Algenib,0.22058333,15.18361111,2.84,Peg,B2IV,
HR45,Chi Peg,0.24336111,20.20666667,4.80,Peg,M2+III,
HR48,7 Cet,0.24397222,-18.93277778,4.46,Cet,M3III,
HR63,Theta And,0.28483333,38.68166667,4.61,And,A2V,
HR68,Sigma And,0.30544444,36.78527778,4.52,And,A2V,
HR74,Iota Cet,0.32377778,-8.82388889,3.55,Cet,K1.5III,
HR77,Zeta Tuc,0.33450000,-64.87500000,4.23,Tuc,F9V,
HR98,Beta Hyi,0.42925000,-77.25444444,2.79,Hyi,G2IV,
HR99,Alpha Phe,0.43805556,-42.30611111,2.38,Phe,K0III,
HR100,Kappa Phe,0.43669444,-43.68000000,3.93,Phe,A7V,
HR105,Eta Scl,0.46547222,-33.00722222,4.81,Scl,M4III,
HR123,Lambda Cas,0.52952778,54.52222222,4.73,Cas,B8Vn,
HR125,Lambda1 Phe,0.52358333,-48.80361111,4.77,Phe,A0V,
HR126,Beta1 Tuc,0.52575000,-62.95833333,4.37,Tuc,B9V,
HR127,Beta2 Tuc,0.52600000,-62.96583333,4.54,Tuc,A2V+A7V,
HR130,Kappa Cas,0.54997222,62.93194444,4.16,Cas,B1Iae,
HR153,Zeta Cas,0.61616667,53.89694444,3.66,Cas,B2IV,
HR154,Pi And,0.61466667,33.71944444,4.36,And,B5V,
HR163,Epsilon And,0.64258333,29.31194444,4.38,And,G8IIIp,
HR165,Delta And,0.65544444,30.86111111,3.28,And,K3III,
HR168,Schedar,0.67511111,56.53750000,2.23,Cas,K0IIIa,
HR179,Xi Cas,0.70105556,50.51250000,4.81,Cas,B2V,
HR180,Mu Phe,0.68875000,-46.08500000,4.59,Phe,G8III,
HR184,Pi Cas,0.72444444,47.02472222,4.94,Cas,A5V,
HR188,Beta Cet,0.72647222,-17.98666667,2.01,Cet,"K0IIICH-1H,K-0.5",
HR191,Eta Phe,0.72255556,-57.46305556,4.36,Phe,A0IV,
HR193,Omicron Cas,0.74541667,48.28444444,4.50,Cas,B5IIIe,
HR194,Phi1 Cet,0.73647222,-10.60944444,4.75,Cet,K0IIIv,
HR215,Zeta And,0.78897222,24.26722222,4.06,And,K1IIe,
HR219,Eta Cas,0.81833333,57.81611111,3.44,Cas,G0V+dM0,
HR223,Nu Cas,0.81388889,50.96833333,4.89,Cas,B9III,
HR224,Delta Psc,0.81136111,7.58500000,4.44,Psc,K5III,
HR226,Nu And,0.83022222,41.07888889,4.53,And,B5V+F8V,
HR244,HR244,0.88447222,61.12416667,4.80,,F8V,
HR248,20 Cet,0.88344444,-1.14444444,4.76,Cet,M0III,
HR253,Upsilon1 Cas,0.91666667,58.97277778,4.84,Cas,K2III,
HR264,Gamma Cas,0.94511111,60.71666667,2.47,Cas,B0IVe,
HR265,Upsilon2 Cas,0.94436111,59.18111111,4.64,Cas,G8.5IIIbCN-1,
HR3282,HR3282,8.35638889,-33.05444444,4.83,,K3II,
HR269,Mu And,0.94586111,38.49944444,3.87,And,A5V,
HR271,Eta And,0.95344444,23.41777778,4.42,And,G8IIIb,
HR280,Alpha Scl,0.97675000,-29.35777778,4.27,Scl,B7IIIp,
HR285,HR285,1.14580556,86.25722222,4.26,,K2II-III,
HR294,Epsilon Psc,1.04902778,7.89000000,4.28,Psc,K0III,
HR322,Beta Phe,1.10138889,-46.71888889,3.30,Phe,G8IIIv,
HR334,Eta Cet,1.14313889,-10.18222222,3.44,Cet,K1.5IIICN1,
HR335,Phi And,1.15836111,47.24194444,4.25,And,B7Ve,
HR337,Mirach,1.16219444,35.62055556,2.05,And,M0IIIa,
HR338,Zeta Phe,1.13972222,-55.24583333,3.92,Phe,B6V+B9V,
HR343,Theta Cas,1.18502778,55.15000000,4.34,Cas,A7V,
HR351,Chi Psc,1.19086111,21.03472222,4.66,Psc,G8.5III-IIIa,
HR352,Tau Psc,1.19433333,30.08972222,4.51,Psc,K0IIIb,
HR360,Phi Psc,1.22911111,24.58361111,4.66,Psc,K0III,
HR370,Nu Phe,1.25308333,-45.53166667,4.96,Phe,F8V,
HR377,Kappa Tuc,1.26283333,-68.87611111,4.86,Tuc,F6IV,
HR382,Phi Cas,1.33466667,58.23166667,4.99,Cas,F0Ia,
HR383,Upsilon Psc,1.32441667,27.26416667,4.76,Psc,A3V,
HR390,Xi And,1.37230556,45.52888889,4.90,And,K0-IIIb,
HR399,Psi Cas,1.43222222,68.13000000,4.74,Cas,K0III,
HR402,Theta Cet,1.40036111,-8.18361111,3.59,Cet,K0IIIb,
HR403,Delta Cas,1.43025000,60.23527778,2.68,Cas,A5III-IVv,
HR412,46 Cet,1.42697222,-14.59888889,4.90,Cet,K2.5IIIb,
HR417,Omega And,1.46088889,45.40694444,4.82,And,F5IV,
HR424,Polaris,2.53069444,89.26416667,2.02,UMi,F7:Ib-IIv,
HR429,Gamma Phe,1.47275000,-43.31833333,3.41,Phe,M0-IIIa,
HR434,Mu Psc,1.50308333,6.14388889,4.84,Psc,K4III,
HR437,Eta Psc,1.52469444,15.34583333,3.62,Psc,G7IIIa,
HR440,Delta Phe,1.52083333,-49.07277778,3.95,Phe,K0III-IV,
HR442,Chi Cas,1.56552778,59.23222222,4.72,Cas,G9IIIb,
HR458,Upsilon And,1.61327778,41.40555556,4.10,And,F8V,
HR464,51 And,1.63319444,48.62833333,3.57,And,K3-III,
HR469,Chi And,1.65580556,44.38611111,4.98,And,G8III,
HR472,Achernar,1.62858333,-57.23666667,0.46,Eri,B3Vpe,
HR477,Tau And,1.67630556,40.57694444,4.94,And,B8III,
HR483,HR483,1.69641667,42.61361111,4.96,,G1.5V,
HR489,Nu Psc,1.69050000,5.48750000,4.44,Psc,K3-IIIbBa0.1,
HR496,Phi Per,1.72766667,50.68888889,4.06,Per,B2Vep,
HR500,HR500,1.71205556,-3.69027778,5.00,,K3II-III,
HR509,Tau Cet,1.73444444,-15.93750000,3.50,Cet,G8V,
HR510,Omicron Psc,1.75655556,9.15777778,4.26,Psc,G8III,
HR531,Chi Cet,1.82638889,-10.68638889,4.68,Cet,F3III,
HR539,Zeta Cet,1.85763889,-10.33500000,3.72,Cet,K0IIIBa0.1,
HR542,Epsilon Cas,1.90655556,63.67027778,3.37,Cas,B3III,
HR544,Alpha Tri,1.88466667,29.57888889,3.42,Tri,F6IV,
HR545,Gamma1 Ari,1.89213889,19.29583333,4.83,Ari,B9V,
HR546,Gamma2 Ari,1.89216667,19.29361111,4.75,Ari,A1pSi,
HR548,Omega Cas,1.93330556,68.68527778,4.99,Cas,B8III,
HR549,Xi Psc,1.89258333,3.18750000,4.63,Psc,K0III,
HR553,Beta Ari,1.91063889,20.80805556,2.65,Ari,A5V,
HR555,Psi Phe,1.89408333,-46.30277778,4.41,Phe,M4III,
HR565,56 Cet,1.94447222,-22.52666667,4.85,Cet,K4III,
