name,region,country,latitude,longitude,timezone,population
Shanghai,,China,31.2222,121.4581,Asia/Shanghai,24874500
Beijing,,China,39.9075,116.3972,Asia/Shanghai,18960744
Shenzhen,Guangdong,China,22.5455,114.0683,Asia/Shanghai,17494398
Guangzhou,Guangdong,China,23.1167,113.25,Asia/Shanghai,16096724
Kinshasa,,Democratic Republic of the Congo,-4.3276,15.3136,Africa/Kinshasa,16000000
Istanbul,,Turkey,41.0138,28.9497,Europe/Istanbul,15701602
Lagos,,Nigeria,6.4541,3.3947,Africa/Lagos,15388000
Ho Chi Minh City,Ho Chi Minh City (HCMC),Vietnam,10.823,106.6296,Asia/Ho_Chi_Minh,14002598
Chengdu,Sichuan,China,30.6667,104.0667,Asia/Shanghai,13568357
Lahore,Punjab,Pakistan,31.558,74.3507,Asia/Karachi,13004135
Mumbai,Maharashtra,India,19.0728,72.8826,Asia/Kolkata,12691836
São Paulo,,Brazil,-23.5475,-46.6361,America/Sao_Paulo,12400232
Mexico City,,Mexico,19.4285,-99.1277,America/Mexico_City,12294193
Karachi,Sindh,Pakistan,24.8608,67.0104,Asia/Karachi,11624219
Tianjin,,China,39.1422,117.1767,Asia/Shanghai,11090314
Delhi,,India,28.6519,77.2315,Asia/Kolkata,11034555
Wuhan,Hubei,China,30.5833,114.2667,Asia/Shanghai,10392693
Moscow,,Russia,55.752,37.6178,Europe/Moscow,10381222
Dhaka,Dhaka Division,Bangladesh,23.7104,90.4074,Asia/Dhaka,10356500
Seoul,,South Korea,37.566,126.9784,Asia/Seoul,10349312
Tokyo,,Japan,35.6895,139.6917,Asia/Tokyo,9733276
Dongguan,Guangdong,China,23.018,113.7487,Asia/Shanghai,9644871
Cairo,,Egypt,30.0626,31.2497,Africa/Cairo,9606916
Xi’an,Shaanxi,China,34.2583,108.9286,Asia/Shanghai,9600000
Johannesburg,Gauteng,South Africa,-26.2023,28.0436,Africa/Johannesburg,9418183
Nanjing,Jiangsu,China,32.0617,118.7778,Asia/Shanghai,9314685
Hangzhou,Zhejiang,China,30.2936,120.1614,Asia/Shanghai,9236032
Foshan,Guangdong,China,23.0268,113.1315,Asia/Shanghai,9042509
London,England,United Kingdom,51.5085,-0.1257,Europe/London,8961989
New York City,New York,United States,40.7143,-74.006,America/New_York,8804190
Jakarta,,Indonesia,-6.2146,106.8451,Asia/Jakarta,8540121
Bengaluru,Karnataka,India,12.9719,77.5937,Asia/Kolkata,8495492
Hanoi,,Vietnam,21.0245,105.8412,Asia/Bangkok,8053663
Taipei,Taiwan,Taiwan,25.0531,121.5264,Asia/Taipei,7871900
Lima,Lima Province,Peru,-12.0432,-77.0282,America/Lima,7737002
Bogotá,Bogota D.C.,Colombia,4.6097,-74.0817,America/Bogota,7674366
Chongqing,,China,29.5603,106.5577,Asia/Shanghai,7457599
Hong Kong,,Hong Kong,22.2783,114.1747,Asia/Hong_Kong,7396076
Baghdad,,Iraq,33.3406,44.4009,Asia/Baghdad,7216000
Wuzhong,Ningxia,China,37.9867,106.201,Asia/Shanghai,7202654
Qingdao,Shandong,China,36.0649,120.3804,Asia/Shanghai,7172451
Tehran,,Iran,35.6944,51.4215,Asia/Tehran,7153309
Shenyang,Liaoning,China,41.7922,123.4328,Asia/Shanghai,7050000
Hyderabad,Telangana,India,17.384,78.4564,Asia/Kolkata,6993262
Rio de Janeiro,,Brazil,-22.9064,-43.1822,America/Sao_Paulo,6747815
Suzhou,Jiangsu,China,31.3041,120.5954,Asia/Shanghai,6715559
Puxi,Shanghai,China,31.2441,121.4659,Asia/Shanghai,6683712
Ahmedabad,Gujarat,India,23.0258,72.5873,Asia/Kolkata,6357693
Abidjan,Abidjan Autonomous District,Ivory Coast,5.3544,-4.0017,Africa/Abidjan,6321017
Pudong,Shanghai,China,31.24,121.5009,Asia/Shanghai,5681512
Sydney,New South Wales,Australia,-33.8678,151.2073,Australia/Sydney,5638830
Singapore,,Singapore,1.2897,103.8501,Asia/Singapore,5638700
Melbourne,Victoria,Australia,-37.814,144.9633,Australia/Melbourne,5435590
Dar es Salaam,Dar es Salaam Region,Tanzania,-6.8235,39.2695,Africa/Dar_es_Salaam,5383728
Saint Petersburg,St.-Petersburg,Russia,59.9386,30.3141,Europe/Moscow,5351935
Alexandria,,Egypt,31.2018,29.9158,Africa/Cairo,5263542
Harbin,Heilongjiang,China,45.75,126.65,Asia/Shanghai,5242897
Bangkok,,Thailand,13.754,100.5014,Asia/Bangkok,5104476
Hefei,Anhui,China,31.8639,117.2808,Asia/Shanghai,5050000
Dalian,Liaoning,China,38.9122,121.6022,Asia/Shanghai,4913879
Kano,Kano State,Nigeria,12.0001,8.5167,Africa/Lagos,4910000
