constellation,segments
Aql,HR7602-HR7557;HR7557-HR7525;HR7557-HR7377;HR7377-HR7570;HR7710-HR7570;HR7377-HR7235;HR7235-HR7176;HR7377-HR7236
And,HR15-HR165;HR165-HR337;HR603-HR337;HR337-HR269;HR269-HR226
Scl,HR8937-HR280;HR280-HR8863;HR8863-HR8937
Ara,HR6743-HR6510;HR6510-HR6285;HR6285-HR6229;HR6229-HR6500;HR6500-HR6462;HR6462-HR6461;HR6461-HR6743
Lib,HR5908-HR5787;HR5787-HR5685;HR5685-HR5531;HR5531-HR5603;HR5603-HR5787
Cet,HR649-HR718;HR509-HR188;HR188-HR74;HR188-HR334;HR334-HR402;HR402-HR539;HR539-HR708;HR708-HR781;HR781-HR811;HR811-HR740;HR740-HR509;HR681-HR781;HR681-HR779;HR779-HR804;HR804-HR911;HR911-HR896;HR896-HR813;HR813-HR718;HR718-HR754;HR754-HR804
Ari,HR838-HR617;HR617-HR553;HR553-HR546
Sct,HR6930-HR6973;HR6973-HR7063;HR7063-HR7066;HR7066-HR7119;HR7119-HR6930
Pyx,HR3438-HR3468;HR3468-HR3518
Boo,HR5477-HR5340;HR5681-HR5602;HR5602-HR5435;HR5435-HR5429;HR5429-HR5340;HR5340-HR5235;HR5235-HR5200;HR5340-HR5505;HR5505-HR5681
Cha,HR3318-HR4174;HR4174-HR4674
Cnc,HR3475-HR3449;HR3449-HR3461;HR3461-HR3249;HR3461-HR3572;HR3449-HR3262
Cap,HR7754-HR7776;HR7776-HR8075;HR8075-HR8167;HR8167-HR8278;HR8278-HR8322;HR8167-HR8204;HR8204-HR8075;HR7776-HR7936;HR8075-HR7980
Car,HR3685-HR4037;HR4037-HR4199;HR4199-HR4200;HR4200-HR4337;HR4337-HR4257;HR4257-HR4114;HR4114-HR4050;HR4050-HR3699;HR3457-HR3307;HR3307-HR2326;HR3659-HR3699;HR3659-HR3457;HR2326-HR2451;HR3307-HR3165
Cas,HR542-HR403;HR403-HR264;HR264-HR168;HR168-HR21
Cen,HR5459-HR5267;HR5267-HR5132;HR5132-HR5231;HR5231-HR5249;HR5249-HR5193;HR5193-HR5190;HR5190-HR5089;HR5089-HR5028;HR5190-HR5288;HR5193-HR5440;HR5440-HR5576;HR5231-HR4819;HR4819-HR4743;HR4743-HR4621;HR4621-HR4460;HR4460-HR4467
Cep,HR8465-HR8694;HR8694-HR8238;HR8238-HR8162;HR8162-HR8465;HR8694-HR8974;HR8974-HR8238
Com,HR4983-HR4737;HR4968-HR4983
CVn,HR4785-HR4915
Aur,HR2095-HR2088;HR2088-HR1708;HR1708-HR1612;HR1612-HR1577;HR1791-HR1577;HR1791-HR2095
Col,HR2296-HR2256;HR2256-HR2106;HR2106-HR2040;HR2040-HR2120;HR2040-HR1956;HR1956-HR1862
Cir,HR5463-HR5704;HR5463-HR5670
Crt,HR4287-HR4343;HR4343-HR4405;HR4405-HR4382;HR4382-HR4287;HR4382-HR4402;HR4402-HR4468;HR4514-HR4405;HR4468-HR4567;HR4567-HR4514
CrA,HR7254-HR7259;HR7259-HR7242;HR7242-HR7188;HR7021-HR7129;HR7129-HR7152;HR7152-HR7226;HR7226-HR7254;HR7188-HR7122;HR7021-HR6942
CrB,HR5778-HR5747;HR5747-HR5793;HR5793-HR5849;HR5849-HR5889;HR5889-HR5947;HR5947-HR5971
Crv,HR4775-HR4757;HR4757-HR4662;HR4662-HR4630;HR4630-HR4623;HR4630-HR4786;HR4786-HR4757
Cru,HR4763-HR4730;HR4853-HR4656
Cyg,HR7328-HR7420;HR7420-HR7528;HR7528-HR7796;HR7796-HR7924;HR7796-HR7949;HR7949-HR8115;HR8115-HR8309;HR7796-HR7615;HR7615-HR7417
Del,HR7852-HR7882;HR7882-HR7906;HR7906-HR7948;HR7948-HR7928;HR7928-HR7882
Dor,HR2015-HR2102;HR2102-HR1922;HR1922-HR2015;HR1922-HR1465;HR1465-HR1338
Dra,HR6688-HR6705;HR6705-HR6536;HR6536-HR6555;HR6555-HR6688;HR6688-HR7310;HR7310-HR7582;HR7582-HR7352;HR7352-HR6927;HR6927-HR6396;HR6396-HR6132;HR6132-HR5986;HR5986-HR5744;HR5744-HR5291;HR5291-HR4787;HR4787-HR4434
Nor,HR6024-HR6072;HR6072-HR6115;HR6115-HR5962;HR5962-HR6072;HR5962-HR6024
Eri,HR472-HR566;HR566-HR674;HR674-HR721;HR721-HR789;HR789-HR794;HR794-HR897;HR897-HR1008;HR1195-HR1347;HR1347-HR1393;HR1393-HR1464;HR1464-HR1173;HR1173-HR1088;HR1088-HR1003;HR1003-HR919;HR919-HR818;HR818-HR874;HR874-HR984;HR984-HR1084;HR1084-HR1136;HR1136-HR1463;HR1463-HR1520;HR1520-HR1560;HR1560-HR1666;HR1666-HR1679;HR1679-HR1481;HR1008-HR1189;HR1189-HR1195
Sge,HR7488-HR7536;HR7536-HR7479;HR7536-HR7635;HR7635-HR7679
For,HR841-HR963
Gem,HR2421-HR2650;HR2650-HR2777;HR2777-HR2763;HR2763-HR2484;HR2777-HR2905;HR2905-HR2985;HR2905-HR2990;HR2905-HR2821;HR2821-HR2697;HR2697-HR2891;HR2697-HR2540;HR2697-HR2473;HR2473-HR2343;HR2473-HR2286;HR2286-HR2216;HR2216-HR2134
Cam,HR1035-HR1148;HR1148-HR1542;HR1035-HR1204;HR1204-HR1542;HR1148-HR1686
CMa,HR2574-HR2657;HR2657-HR2596;HR2596-HR2491;HR2491-HR2653;HR2653-HR2693;HR2693-HR2749;HR2749-HR2827;HR2618-HR2646;HR2646-HR2693;HR2429-HR2414;HR2429-HR2294;HR2429-HR2491;HR2618-HR2538;HR2282-HR2618;HR2596-HR2574;HR2646-HR2583;HR2583-HR2429
UMa,HR5191-HR5054;HR5054-HR4905;HR4905-HR4660;HR4660-HR4301;HR4301-HR4295;HR4295-HR4554;HR4554-HR4660;HR4554-HR4518;HR4518-HR4335;HR4335-HR4033;HR4335-HR4069;HR4295-HR3894;HR3894-HR3775;HR3775-HR3594;HR3775-HR3569;HR3894-HR3888;HR3888-HR3323;HR3323-HR3757;HR3757-HR4301
Gru,HR8787-HR8556;HR8556-HR8425;HR8425-HR8636;HR8636-HR8820;HR8820-HR8787;HR8636-HR8747;HR8636-HR8675;HR8425-HR8411;HR8411-HR8353
Her,HR6588-HR6695;HR6436-HR6418;HR6418-HR6220;HR6220-HR6168;HR6168-HR6092;HR6092-HR5914;HR6220-HR6212;HR6212-HR6148;HR6148-HR6095;HR6212-HR6324;HR6324-HR6526;HR6526-HR6410;HR6623-HR6703;HR6703-HR6779;HR6324-HR6418;HR6623-HR6526;HR6695-HR6484;HR6484-HR6436
Hya,HR3454-HR3418;HR3418-HR3410;HR3410-HR3482;HR3482-HR3492;HR3492-HR3454;HR3492-HR3547;HR3547-HR3665;HR3665-HR3787;HR3787-HR3759;HR3759-HR3748;HR3748-HR3903;HR3903-HR3994;HR3994-HR4094;HR4094-HR4232;HR4232-HR4450;HR4450-HR4552;HR4552-HR4958;HR4958-HR5020
